//              Time(s)       P[1](Prismatic:5)(mm) 
               6,86757       871,07500    
               6,89730       838,49300    
               6,92703       806,25700    
               6,95676       774,38100    
               6,98649       742,87800    
               7,01622       711,76300    
               7,04595       681,05100    
               7,07568       650,75700    
               7,10541       620,89600    
               7,13514       591,48500    
               7,16487       562,54000    
               7,19459       534,07782    
               7,22432       506,11600    
               7,25405       478,67300    
               7,28378       451,76600    
               7,31351       425,41400    
               7,34324       399,63600    
               7,37297       374,45100    
               7,40270       349,87900    
               7,43243       325,93900    
               7,46216       303,61400    
               7,49189       286,45800    
               7,52162       277,36900    
               7,55135       273,00100    
               7,58108       270,11600    
               7,61081       268,34600    
               7,64054       265,22400    
               7,67027       258,63100    
               7,70000       248,64500    
               7,72973       236,16272    
               7,75946       223,72800    
               7,78919       211,53800    
               7,81892       199,59500    
               7,84865       187,90200    
               7,87838       176,37800    
               7,90811       164,92100    
               7,93784       153,53302    
               7,96757       142,21600    
               7,99730       130,98200    
               8,02703       119,95977    
               8,05676       109,20600    
               8,08649       98,72180     
               8,11622       88,51080     
               8,14595       78,57490     
               8,17568       68,91670     
               8,20541       59,53840     
               8,23514       50,44240     
               8,26486       41,63080     
               8,29459       33,10580     
               8,32432       24,86960     
               8,35405       16,92410     
               8,38378       9,27130      
               8,41351       1,91308      
               8,44324      -5,14876      
               8,47297      -11,90640     
               8,50270      -17,68760     
               8,53243      -22,17750     
               8,56216      -25,49600     
               8,59189      -27,65880     
               8,62162      -28,57724     
               8,65135      -28,05910     
               8,68108      -26,57870     
               8,71081      -24,67680     
               8,74054      -22,35280     
               8,77027      -19,60630     
               8,80000      -16,43700     
               8,82973      -12,84530     
               8,85946      -8,83160      
               8,88919      -4,39678      
               8,91892       0,79538      
               8,94865       7,06393      
               8,97838       14,34000     
               9,00811       22,57910     
               9,03784       31,73860     
               9,06757       41,34914     
               9,09730       51,22610     
               9,12703       61,36700     
               9,15676       71,76970     
               9,18649       82,43170     
               9,21622       93,35050     
               9,24595       104,52400    
               9,27568       115,94900    
               9,30541       127,62300    
               9,33514       139,54500    
               9,36487       151,71106    
               9,39459       164,11900    
               9,42432       176,34000    
               9,45405       185,55600    
               9,48378       191,15000    
               9,51351       193,06700    
               9,54324       191,33200    
               9,57297       186,04500    
               9,60270       177,71100    
               9,63243       169,13000    
               9,66216       160,89900    
               9,69189       153,02100    
               9,72162       145,49700    
               9,75135       138,32900    
               9,78108       131,51700    
               9,81081       125,06400    
               9,84054       118,97000    
               9,87027       113,23500    
               9,90000       107,86000    
               9,92973       102,84600    
               9,95946       98,19140     
               9,98919       93,89750     
               10,01890      89,96320     
               10,04860      86,38810     
               10,07840      83,17120     
               10,10810      80,31150     
               10,13780      77,80760     
               10,16760      75,65820     
               10,19730      73,86140     
               10,22700      72,41530     
               10,25680      71,31780     
               10,28650      70,56650     
               10,31620      70,15890     
               10,34590      70,08370     
               10,37570      70,65699     
               10,40540      72,33477     
               10,43510      74,99190     
               10,46490      78,25679     
               10,49460      81,54020     
               10,52430      84,82920     
               10,55410      88,12300     
               10,58380      91,42100     
               10,61350      94,72250     
               10,64320      98,02668     
               10,67300      101,33300    
               10,70270      104,64000    
               10,73240      107,94900    
               10,76220      111,25700    
               10,79190      114,56400    
               10,82160      117,86982    
               10,85140      121,17300    
               10,88110      124,47400    
               10,91081      127,77200    
               10,94054      131,06500    
               10,97027      134,35300    
               11,00000      137,63600    
