//              Time(s)       P[1](Prismatic:4)(mm) 
               0,00000       600,04000    
               0,62500       583,77600    
               1,25000       566,09259    
               1,87500       547,12300    
               2,50000       527,01500    
               3,12500       505,92600    
               3,75000       484,03100    
               4,37500       461,51500    
               5,00000       438,57500    
               5,62500       415,42000    
               6,25000       392,26900    
               6,87500       369,34900    
               7,50000       346,89566    
               8,12500       325,14743    
               8,75000       304,34600    
               9,37500       284,73100    
               10,00000      266,53900    
               10,62500      249,99500    
               11,25000      235,31400    
               11,87500      222,69100    
               12,50000      212,29800    
               13,12500      204,28100    
               13,75000      198,75600    
               14,37500      195,80100    
               15,00000      195,46000    
               15,62500      197,73900    
               16,25000      202,60400    
               16,87500      209,98400    
               17,50000      219,77300    
               18,12500      231,83300    
               18,75000      245,99800    
               19,37500      262,07800    
               20,00000      279,86400    
               20,62500      299,13200    
               21,25000      319,64800    
               21,87500      341,17400    
               22,50000      363,46800    
               23,12500      386,28900    
               23,75000      409,40200    
               24,37500      432,57800    
               25,00000      455,59400    
               25,62500      478,24000    
               26,25000      500,31400    
               26,87500      521,62900    
               27,50000      542,00800    
               28,12500      561,28772    
               28,75000      579,31800    
               29,37500      595,96300    
               30,00000      611,09800    
               30,62500      624,61600    
               31,25000      636,41900    
               31,87500      646,42500    
               32,50000      654,56600    
               33,12500      660,78700    
               33,75000      665,04500    
               34,37500      667,31200    
               35,00000      667,57200    
               35,62500      665,82500    
               36,25000      662,08200    
               36,87500      656,36700    
               37,50000      648,72000    
               38,12500      639,19100    
               38,75000      627,84700    
               39,37500      614,76600    
               40,00000      600,04000    
               40,62500      600,04000    
               41,25000      600,04000    
               41,87500      600,04000    
               42,50000      600,04000    
               43,12500      600,04000    
               43,75000      600,04000    
               44,37500      600,04000    
               45,00000      600,04000    
               45,62500      600,04000    
               46,25000      600,04000    
               46,87500      600,04000    
               47,50000      600,04000    
               48,12500      600,04000    
               48,75000      600,04000    
               49,37500      600,04000    
               50,00000      600,04000    
               50,62500      600,04000    
               51,25000      600,04000    
               51,87500      600,04000    
               52,50000      600,04000    
               53,12500      600,04000    
               53,75000      600,04000    
               54,37500      600,04000    
               55,00000      600,04000    
               55,62500      600,04000    
               56,25000      600,04000    
               56,87500      600,04000    
               57,50000      600,04000    
               58,12500      600,04000    
               58,75000      600,04000    
               59,37500      600,04000    
               60,00000      600,04000    
